Sub,Type,ID,Position,RT,ACC
1,1,1,1,0.433692713,1
1,1,2,1,0.35046257,1
1,1,3,1,0.333717541,1
1,1,4,1,0.367131414,1
1,1,5,1,0.333724252,1
1,1,6,1,0.367073783,1
1,1,8,1,0.350963093,1
1,1,10,1,0.233835528,1
1,1,11,1,0.267029138,1
1,1,12,1,0.300359327,1
1,1,13,1,0.53374012,1
1,1,14,1,0.700460142,1
1,1,15,1,0.317112249,1
1,1,16,1,0.300428011,1
1,1,17,1,0.550400675,1
1,1,18,1,0.400400419,1
1,1,19,1,0.467117638,1
1,1,20,1,0.367081677,1
1,1,21,1,0.383776179,1
1,1,22,1,0.367035099,1
1,1,23,1,0.400366077,1
1,1,24,1,0.350446385,1
1,1,26,1,0.533809988,1
1,1,27,1,0.267031507,1
1,1,28,1,0.867102401,1
1,1,29,1,0.300138275,1
1,1,30,1,0.333768857,1
1,1,31,1,0.317131986,1
1,1,32,1,0.250370557,1
1,2,33,1,0.31720738,1
1,2,34,1,0.316824093,1
1,2,35,1,0.450408925,1
1,2,36,1,0.417097684,1
1,2,37,1,0.383723285,1
1,2,38,1,0.433774028,1
1,2,39,1,0.333766489,1
1,2,40,1,0.316666594,1
1,2,41,1,0.250403715,1
1,2,42,1,0.350417965,1
1,2,43,1,0.317084223,1
1,2,44,1,0.400427655,1
1,2,45,1,0.300429589,1
1,2,46,1,0.300367616,1
1,2,47,1,0.300422089,1
1,2,48,1,0.383870916,1
1,2,49,1,0.283745351,1
1,2,50,1,0.367125098,1
1,2,51,1,0.317146197,1
1,2,52,1,0.300459984,1
1,2,53,1,0.300443405,1
1,2,54,1,0.267005059,1
1,2,55,1,0.400424103,1
1,2,56,1,0.317204617,1
1,2,57,1,0.283797455,1
1,2,58,1,0.400536207,1
1,2,59,1,0.300409063,1
1,2,60,1,0.350425859,1
1,2,61,1,0.267299926,1
1,2,62,1,0.283875613,1
1,2,63,1,0.300671167,1
1,2,64,1,0.567158335,1
2,1,44,1,0.533704989,1
2,2,9,1,0.483985428,1
2,2,14,1,0.467143295,1
2,2,12,1,0.850452504,1
2,1,41,1,0.417103999,1
2,2,13,1,0.650423214,1
2,1,42,1,0.383729601,1
2,2,10,1,0.40043555,1
2,1,43,1,0.467035138,1
2,1,46,1,0.533453148,1
2,1,48,1,0.517158512,1
2,2,15,1,0.517099697,1
2,2,16,1,0.46732882,1
2,2,11,1,0.400372392,1
2,2,4,1,0.417175052,1
2,1,35,1,0.417051895,1
2,1,40,1,0.333776752,1
2,1,34,1,0.367064704,1
2,2,3,1,0.450345768,1
2,1,39,1,0.367036678,1
2,1,38,1,0.48404898,1
2,2,5,1,0.400456471,1
2,2,1,1,0.450398662,1
2,1,36,1,0.433809554,1
2,1,33,1,0.483807798,1
2,2,8,1,0.433657976,1
2,2,6,1,0.350159413,1
2,2,2,1,0.383770258,1
2,1,37,1,0.400430813,1
2,2,7,1,0.400385813,1
2,1,60,1,0.416764133,1
2,2,31,1,0.300373932,1
2,2,25,1,0.600387866,1
2,2,29,1,0.350564411,1
2,1,57,1,0.350451122,1
2,2,27,1,0.433768107,1
2,1,58,1,0.550334755,1
2,2,26,1,0.500396116,1
2,1,59,1,0.367020493,1
2,1,64,1,0.666915218,1
2,2,28,1,0.400471471,1
2,2,32,1,0.367124309,1
2,1,54,1,0.433772844,1
2,1,50,1,0.5667411,1
2,1,51,1,0.383710653,1
2,2,24,1,0.633679371,1
2,2,22,1,0.300422879,1
2,1,52,1,0.383819995,1
2,2,18,1,0.433762186,1
2,2,21,1,0.350448359,1
2,2,19,1,0.450425504,1
2,2,20,1,0.301464978,1
2,2,23,1,0.500464405,1
2,2,17,1,0.267035059,1
2,1,49,1,0.350479938,1
2,1,56,1,0.400391734,1
2,1,53,1,0.350410859,1
